Dosya,ID,Durum,Area,Perimeter,HullArea,HullPerimeter,Solidity,Circularity,Convexity,AspectRatio,Extent,EqDiameter,Eccentricity,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,BBoxX,BBoxY,BBoxW,BBoxH
testA_10.bmp,1,Anomali,2152.5,200.32590091228485,2239.0,193.56618320941925,0.9613666815542653,0.6740293611081536,1.0349219971731956,1.9736842105263157,0.7552631578947369,52.351199795634464,0.8659415444863232,0.20906440157384285,0.014859069042657205,0.0014778354045188746,0.0001642440026727029,4.809590544727036e-08,6.642833794089404e-06,-6.507359029197276e-08,216,0,75,38
testA_10.bmp,2,Anomali,492.5,117.35533845424652,503.5,115.2108724117279,0.9781529294935452,0.44937654230627533,1.0186133999129436,3.857142857142857,0.6514550264550265,25.041375277369806,0.9699175324208875,0.32488857619433736,0.0756553661348065,0.0031596319864463955,0.00031499546722655344,-2.3616992913580321e-07,-7.197932397372613e-05,-2.073078960805026e-07,357,0,54,14
testA_10.bmp,3,Normal,1796.5,177.15432798862457,1830.5,172.8270890712738,0.9814258399344441,0.7193389088439502,1.025037966794466,1.6842105263157894,0.7386924342105263,47.826507734902826,0.797520885730827,0.18763723724711925,0.0063774482404027905,0.0012505681859859594,8.78913589583112e-05,9.14923552064829e-09,8.535362401544536e-07,2.7665252889155897e-08,463,0,64,38
testA_10.bmp,4,Anomali,6726.5,331.09545290470123,6798.5,321.37650215625763,0.9894094285504156,0.7710678185958463,1.0302416346037586,0.5630252100840336,0.8436598520005016,92.54429100523204,0.8499830113205111,0.19258054665261382,0.011181508460901376,4.500304055753438e-05,3.2700783252293107e-06,3.951563110412176e-11,3.4563555132304844e-07,-3.4920660052419625e-12,533,0,67,119
testA_10.bmp,5,Anomali,5549.5,523.546244263649,6579.0,316.8069086074829,0.8435172518619851,0.2544213910686986,1.6525720558458898,0.6015625,0.5630580357142857,84.05856799581936,0.7719395937031344,0.21184928926652777,0.009655159269744666,0.00015575085397053276,1.513991018351622e-05,7.241717727786581e-10,1.1550816108122467e-06,-1.2681092775124148e-10,640,2,77,128
testA_10.bmp,6,Normal,5787.5,292.97770273685455,5898.0,281.03806018829346,0.9812648355374703,0.8472893144682218,1.0424840768562151,0.7920792079207921,0.7162747524752475,85.842145040503,0.6963203921280771,0.16839785071253743,0.0028370413572546744,3.861833677383536e-06,1.1780712137284235e-07,-2.591075079226028e-14,-3.364438810454918e-09,7.511781164776313e-14,385,29,80,101
testA_10.bmp,7,Normal,7461.5,326.0071402788162,7561.0,312.53498089313507,0.9868403650310805,0.8822299212086939,1.0431060847882743,0.9595959595959596,0.7933545986177565,97.46936371517677,0.270467857375364,0.15986527104247317,3.850225605030912e-05,3.754434990070257e-06,9.085702701174374e-09,1.6631369280646205e-15,5.027424314622694e-11,2.233708443303461e-16,282,30,95,99
testA_10.bmp,8,Anomali,3109.0,227.82337474822998,3179.5,219.28798532485962,0.9778267023116842,0.7527209861719532,1.0389231968670138,0.5222222222222223,0.7349881796690307,62.91662534323993,0.8500934210636826,0.194227117195905,0.01163094814351349,0.00023355305102571816,1.9332613940152647e-05,8.349242075902531e-10,9.730654031737671e-07,-9.952155645693733e-10,482,55,47,90
testA_10.bmp,9,Anomali,31355.5,1096.658942103386,35859.5,1017.6315349340439,0.8743986949065101,0.32762755902147994,1.0776581743552829,0.3388235294117647,0.5123447712418301,199.80756378311457,0.9687444508101933,0.38887055067093285,0.11379683322480438,0.01917511598599638,0.011378959631151792,0.00016807125404270584,0.003838465626675547,1.9555214755236284e-06,631,97,144,425
testA_10.bmp,10,Normal,6959.5,321.6051193475723,7068.5,306.9308125972748,0.9845794723067128,0.845555262151639,1.0478098195033672,0.8691588785046729,0.6993769470404985,94.1334723229966,0.6887607007237828,0.1679917734656336,0.0026951344774978035,4.509442187446263e-06,1.0316086209284729e-07,1.7857843424000584e-15,2.544657645473886e-10,-7.03386347257857e-14,244,121,93,107
testA_10.bmp,11,Anomali,2812.0,247.33809351921082,2906.0,236.8358771800995,0.9676531314521679,0.5776212506450162,1.0443438572912034,0.38095238095238093,0.6695238095238095,59.836022593378296,0.9470182181937065,0.2732705908788809,0.04891365525966337,0.00022516809929680183,9.922545049781921e-05,1.4826549212670021e-08,2.186455180086121e-05,-3.8709592745089147e-10,617,129,40,105
testA_10.bmp,12,Normal,5692.5,300.0071402788162,5886.0,287.7726860046387,0.9671253822629969,0.7947851076595334,1.0425142998942587,0.81,0.7027777777777777,85.13469391737374,0.7840398027987793,0.18096345198205793,0.006248897466441769,0.00032233596844435155,1.5803699688641167e-05,-6.963789946264149e-10,-9.320931247453054e-07,-8.873236458312867e-10,353,154,81,100
testA_10.bmp,13,Anomali,3754.5,253.722869515419,3842.5,243.04822981357574,0.9770982433311646,0.7328966620963059,1.0439198413830497,0.5463917525773195,0.7303053880567983,69.14027676187136,0.8624847187599224,0.19936878996426527,0.01400735590348778,0.00011721062700465039,2.0849412790703772e-05,1.0223127748630135e-09,2.3818431210761087e-06,-1.3107154138417904e-10,424,175,53,97
testA_10.bmp,14,Anomali,3575.0,280.5096664428711,3696.0,269.9868096113205,0.9672619047619048,0.5709397054361658,1.0389754478994717,0.3305785123966942,0.7386363636363636,67.4672614860586,0.9450153542103704,0.2662137223411909,0.04443784817239605,0.0004302125994762395,0.00012612905173703718,2.7593416517064865e-08,2.001485773096207e-05,-1.0091448089400582e-08,537,196,40,121
testA_10.bmp,15,Anomali,8781.5,423.8061298131943,9374.5,394.7170467376709,0.9367432929756254,0.614389948290659,1.0736960395198132,0.47023809523809523,0.6616561181434599,105.7400258279325,0.8910155753371823,0.22244688941696436,0.022273759524280835,0.0005105342405922896,0.0001514337736844089,4.1959246036017744e-08,2.2439705572110042e-05,3.5153777249563286e-09,454,208,79,168
testA_10.bmp,16,Normal,10732.5,404.634556889534,10910.0,386.348473072052,0.983730522456462,0.8237298826586748,1.0473305450700505,0.6643356643356644,0.7900257637099742,116.89757659536889,0.7593434746195855,0.17431939120213194,0.004967709572557435,1.4140631577933307e-05,7.669204105318961e-07,2.1976344035769203e-12,4.2059056481270275e-08,1.2445560280294919e-12,296,285,95,143
testA_10.bmp,17,Anomali,3318.0,318.45079135894775,3595.5,302.3610762357712,0.9228201919065498,0.41115121765918317,1.053213579351829,0.36496350364963503,0.4843795620437956,64.99699077212168,0.9744415840753825,0.38931664603208255,0.12526795679546354,0.00017839404663001453,0.00010704908780062464,1.4706136317442106e-08,3.4672493035995205e-05,1.6033859115476462e-09,569,300,50,137
testA_10.bmp,18,Anomali,8864.5,376.634556889534,9015.5,361.03544080257416,0.9832510676057901,0.7852786295228208,1.0432066061223333,0.6231884057971014,0.7469245028648467,106.23856147512942,0.8250941977618073,0.18693755417721103,0.00929155717843313,9.55523539078226e-05,7.82972534664317e-06,1.45408261614784e-10,3.495154357296046e-07,-1.5723038105214484e-10,397,366,86,138
testA_10.bmp,19,Anomali,4740.5,297.23758828639984,4829.0,287.380818605423,0.9816732242700352,0.6742586973143767,1.0342986345741827,1.7301587301587302,0.6903305664773555,77.6903601601707,0.8046991480392092,0.19241255891871106,0.0066866186954625505,0.001949997401316873,0.00011905505149564108,1.4676822618440962e-08,1.5875991118850106e-06,5.5454568976961115e-08,269,459,109,63
testA_10.bmp,20,Anomali,1083.5,155.29646337032318,1159.0,151.26710665225983,0.9348576358930112,0.5645672073447441,1.026637362260959,1.4102564102564104,0.5051282051282051,37.142361889364935,0.8471151548085342,0.22602860805875263,0.01598483921120946,0.004956094091154368,0.0005734202345955738,6.83761198687351e-07,3.507709779838135e-05,-6.833198652216262e-07,423,483,55,39
